pairs,true,predict
"(18, 221)",1,1
"(103, 419)",1,1
"(82, 344)",1,1
"(30, 372)",1,1
"(19, 397)",1,0
"(53, 293)",1,1
"(214, 303)",1,1
"(71, 409)",1,1
"(103, 454)",1,1
"(120, 483)",1,0
"(40, 479)",1,1
"(101, 249)",1,1
"(182, 308)",1,1
"(30, 457)",1,1
"(201, 316)",1,1
"(50, 268)",1,1
"(8, 248)",1,1
"(46, 348)",1,1
"(87, 249)",1,1
"(209, 474)",1,1
"(49, 359)",1,0
"(205, 229)",1,1
"(27, 268)",1,1
"(17, 409)",1,0
"(148, 401)",1,0
"(172, 233)",1,1
"(135, 268)",1,1
"(78, 297)",1,1
"(76, 292)",1,1
"(208, 246)",1,1
"(189, 406)",1,1
"(208, 384)",1,1
"(26, 311)",1,1
"(30, 419)",1,1
"(156, 255)",1,1
"(77, 401)",1,1
"(101, 255)",1,1
"(76, 225)",1,1
"(110, 480)",1,1
"(159, 310)",1,1
"(73, 223)",1,1
"(180, 229)",1,1
"(111, 437)",1,1
"(72, 290)",1,1
"(100, 419)",1,1
"(184, 397)",1,1
"(216, 338)",1,1
"(150, 300)",1,1
"(205, 443)",1,0
"(1, 278)",1,1
"(176, 397)",1,1
"(189, 437)",1,1
"(166, 401)",1,1
"(103, 438)",1,1
"(36, 391)",1,1
"(67, 381)",1,1
"(126, 233)",1,1
"(147, 220)",1,1
"(207, 261)",1,1
"(51, 457)",1,1
"(84, 397)",1,1
"(56, 330)",1,1
"(27, 480)",1,1
"(28, 256)",1,1
"(50, 242)",1,1
"(100, 478)",1,0
"(180, 406)",1,1
"(163, 249)",1,0
"(92, 384)",1,1
"(10, 397)",1,1
"(53, 406)",1,1
"(79, 223)",1,1
"(26, 372)",1,1
"(33, 229)",1,1
"(166, 262)",1,1
"(72, 316)",1,1
"(18, 371)",1,0
"(16, 478)",1,1
"(26, 243)",1,1
"(166, 268)",1,1
"(216, 268)",1,1
"(102, 331)",1,1
"(120, 245)",1,1
"(77, 245)",1,1
"(131, 293)",1,1
"(69, 281)",1,0
"(84, 264)",1,1
"(196, 294)",1,1
"(151, 255)",1,1
"(75, 330)",1,1
"(80, 406)",1,1
"(131, 319)",1,1
"(156, 437)",1,1
"(100, 369)",1,0
"(25, 333)",1,1
"(76, 453)",1,1
"(196, 273)",1,1
"(1, 357)",1,1
"(78, 280)",1,1
"(180, 459)",1,1
"(122, 397)",1,1
"(53, 461)",1,1
"(111, 359)",1,1
"(122, 487)",1,1
"(85, 419)",1,1
"(13, 476)",1,1
"(130, 252)",1,0
"(201, 290)",1,1
"(131, 322)",1,1
"(76, 229)",1,1
"(120, 301)",1,1
"(199, 463)",1,1
"(102, 446)",1,1
"(115, 442)",1,1
"(120, 410)",1,1
"(31, 469)",1,1
"(127, 229)",1,1
"(166, 368)",1,1
"(105, 351)",1,0
"(80, 297)",1,1
"(147, 237)",1,1
"(166, 352)",1,1
"(3, 348)",1,1
"(3, 255)",1,1
"(106, 353)",1,1
"(41, 438)",1,1
"(60, 312)",1,1
"(28, 353)",1,1
"(185, 468)",1,1
"(92, 419)",1,0
"(185, 314)",1,1
"(173, 312)",1,1
"(24, 229)",1,1
"(192, 248)",1,1
"(13, 342)",1,1
"(65, 461)",1,1
"(208, 357)",1,1
"(67, 233)",1,1
"(132, 270)",1,0
"(101, 333)",1,1
"(184, 316)",1,1
"(103, 324)",1,1
"(209, 484)",1,1
"(160, 290)",1,1
"(135, 437)",1,1
"(208, 247)",1,1
"(137, 270)",1,1
"(3, 372)",1,1
"(150, 230)",1,1
"(147, 468)",1,1
"(166, 288)",1,1
"(147, 362)",1,1
"(94, 369)",1,0
"(27, 248)",1,1
"(126, 327)",1,1
"(79, 432)",1,1
"(73, 361)",1,1
"(64, 268)",1,1
"(86, 406)",1,1
"(140, 480)",1,1
"(181, 357)",1,1
"(79, 303)",1,1
"(201, 330)",1,1
"(27, 412)",1,1
"(208, 297)",1,1
"(98, 273)",1,1
"(8, 256)",1,1
"(69, 249)",1,1
"(209, 348)",1,1
"(138, 268)",1,1
"(8, 271)",1,1
"(46, 245)",1,1
"(27, 442)",1,1
"(67, 273)",1,1
"(73, 373)",1,1
"(76, 297)",1,1
"(131, 442)",1,1
"(92, 292)",1,1
"(1, 412)",1,1
"(150, 225)",1,1
"(126, 309)",1,1
"(80, 367)",1,1
"(150, 312)",1,1
"(138, 487)",1,1
"(12, 468)",1,1
"(8, 331)",1,1
"(45, 401)",1,1
"(183, 314)",1,1
"(21, 241)",1,1
"(173, 438)",1,1
"(172, 223)",1,1
"(215, 248)",1,1
"(103, 353)",1,1
"(84, 290)",1,1
"(216, 242)",1,1
"(101, 242)",1,1
"(209, 438)",1,1
"(134, 430)",1,0
"(212, 251)",1,0
"(92, 438)",1,1
"(127, 331)",1,1
"(145, 247)",1,1
"(110, 273)",1,1
"(9, 234)",1,1
"(18, 296)",1,1
"(123, 401)",1,1
"(180, 375)",1,1
"(197, 474)",1,1
"(7, 333)",1,1
"(8, 323)",1,1
"(80, 229)",1,1
"(199, 461)",1,1
"(53, 276)",1,1
"(24, 471)",1,1
"(80, 321)",1,1
"(57, 353)",1,1
"(149, 247)",1,1
"(107, 392)",1,1
"(147, 233)",1,1
"(98, 372)",1,1
"(80, 419)",1,1
"(80, 432)",1,1
"(126, 259)",1,1
"(98, 241)",1,1
"(181, 401)",1,1
"(144, 229)",1,1
"(82, 274)",1,1
"(135, 246)",1,1
"(119, 417)",1,1
"(151, 229)",1,1
"(36, 327)",1,1
"(65, 438)",1,0
"(102, 371)",1,1
"(108, 282)",1,0
"(188, 472)",1,1
"(131, 264)",1,1
"(201, 312)",1,1
"(159, 333)",1,1
"(72, 457)",1,1
"(209, 249)",1,1
"(203, 294)",1,1
"(134, 268)",1,1
"(168, 342)",1,0
"(208, 446)",1,1
"(140, 346)",1,1
"(42, 362)",1,0
"(26, 461)",1,1
"(205, 389)",1,1
"(75, 437)",1,1
"(182, 435)",1,1
"(182, 397)",1,1
"(93, 256)",1,1
"(24, 278)",1,1
"(122, 233)",1,1
"(142, 333)",1,1
"(167, 463)",1,0
"(101, 271)",1,1
"(31, 387)",1,0
"(168, 351)",1,0
"(199, 247)",1,1
"(23, 330)",1,1
