pairs,true,predict
"(92, 300)",1,1
"(8, 300)",1,1
"(76, 273)",1,1
"(89, 337)",1,1
"(92, 229)",1,1
"(86, 280)",1,1
"(197, 312)",1,1
"(82, 264)",1,1
"(149, 401)",1,1
"(209, 339)",1,1
"(184, 270)",1,1
"(199, 297)",1,1
"(93, 348)",1,1
"(138, 437)",1,1
"(53, 268)",1,1
"(200, 445)",1,0
"(163, 455)",1,1
"(8, 480)",1,1
"(26, 242)",1,1
"(27, 303)",1,1
"(60, 255)",1,1
"(210, 401)",1,1
"(170, 314)",1,1
"(176, 277)",1,1
"(217, 326)",1,1
"(26, 225)",1,1
"(93, 225)",1,1
"(170, 397)",1,1
"(74, 476)",1,1
"(54, 359)",1,0
"(184, 274)",1,1
"(107, 378)",1,1
"(77, 249)",1,1
"(176, 290)",1,1
"(69, 308)",1,1
"(87, 233)",1,1
"(73, 454)",1,1
"(122, 333)",1,1
"(91, 348)",1,1
"(24, 474)",1,1
"(140, 475)",1,1
"(188, 285)",1,1
"(180, 412)",1,1
"(170, 364)",1,1
"(17, 330)",1,1
"(138, 319)",1,1
"(156, 300)",1,1
"(23, 342)",1,1
"(131, 437)",1,1
"(122, 434)",1,1
"(208, 476)",1,1
"(101, 328)",1,1
"(170, 333)",1,1
"(86, 357)",1,1
"(120, 375)",1,1
"(101, 339)",1,1
"(3, 229)",1,1
"(116, 474)",1,1
"(35, 229)",1,1
"(161, 331)",1,1
"(175, 225)",1,1
"(208, 293)",1,1
"(158, 406)",1,1
"(156, 270)",1,1
"(91, 359)",1,1
"(75, 256)",1,1
"(103, 461)",1,1
"(142, 303)",1,1
"(88, 330)",1,1
"(118, 264)",1,1
"(80, 476)",1,1
"(58, 367)",1,0
"(67, 249)",1,1
"(111, 368)",1,1
"(101, 301)",1,1
"(151, 303)",1,1
"(184, 229)",1,1
"(36, 243)",1,1
"(80, 223)",1,1
"(172, 437)",1,1
"(137, 233)",1,1
"(180, 477)",1,0
"(135, 241)",1,1
"(8, 294)",1,1
"(189, 372)",1,1
"(178, 372)",1,1
"(84, 448)",1,1
"(85, 268)",1,1
"(60, 249)",1,1
"(27, 229)",1,1
"(14, 273)",1,1
"(76, 294)",1,1
"(111, 263)",1,0
"(79, 271)",1,1
"(98, 480)",1,1
"(138, 372)",1,1
"(26, 331)",1,1
"(199, 324)",1,1
"(76, 392)",1,1
"(130, 295)",1,0
"(92, 264)",1,1
"(167, 331)",1,1
"(57, 323)",1,0
"(140, 277)",1,0
"(144, 368)",1,0
"(67, 229)",1,1
"(42, 248)",1,1
"(175, 264)",1,1
"(67, 442)",1,1
"(89, 247)",1,1
"(57, 468)",1,1
"(166, 278)",1,1
"(208, 274)",1,1
"(75, 247)",1,1
"(114, 385)",1,1
"(67, 384)",1,1
"(51, 311)",1,1
"(160, 454)",1,1
"(59, 410)",1,1
"(41, 262)",1,1
"(182, 353)",1,1
"(182, 378)",1,1
"(31, 308)",1,1
"(214, 461)",1,1
"(118, 294)",1,1
"(138, 359)",1,1
"(166, 300)",1,1
"(84, 292)",1,1
"(166, 412)",1,1
"(170, 401)",1,1
"(201, 299)",1,1
"(210, 484)",1,1
"(25, 264)",1,1
"(92, 330)",1,1
"(103, 363)",1,1
"(72, 255)",1,1
"(208, 312)",1,1
"(199, 437)",1,1
"(104, 224)",1,1
"(3, 330)",1,1
"(123, 474)",1,1
"(82, 322)",1,1
"(209, 316)",1,1
"(27, 462)",1,0
"(82, 245)",1,1
"(138, 485)",1,1
"(63, 365)",1,0
"(114, 330)",1,1
"(160, 294)",1,1
"(142, 314)",1,1
"(180, 357)",1,1
"(192, 432)",1,1
"(86, 402)",1,1
"(53, 330)",1,1
"(152, 432)",1,1
"(89, 327)",1,1
"(50, 245)",1,1
"(79, 450)",1,1
"(159, 247)",1,1
"(192, 374)",1,1
"(46, 259)",1,1
"(137, 284)",1,0
"(107, 278)",1,1
"(126, 278)",1,1
"(53, 344)",1,1
"(101, 437)",1,1
"(106, 412)",1,1
"(79, 476)",1,1
"(173, 256)",1,1
"(151, 487)",1,1
"(156, 401)",1,1
"(98, 468)",1,1
"(50, 468)",1,1
"(183, 401)",1,1
"(192, 454)",1,1
"(209, 256)",1,1
"(65, 401)",1,1
"(184, 438)",1,1
"(92, 261)",1,1
"(146, 469)",1,1
"(9, 397)",1,1
"(196, 241)",1,1
"(93, 241)",1,1
"(73, 402)",1,1
"(197, 437)",1,1
"(24, 353)",1,1
"(103, 406)",1,1
"(180, 278)",1,1
"(28, 397)",1,1
"(27, 419)",1,1
"(145, 301)",1,1
"(210, 397)",1,1
"(215, 353)",1,1
"(130, 294)",1,1
"(50, 272)",1,0
"(189, 318)",1,1
"(98, 333)",1,1
"(68, 483)",1,0
"(145, 243)",1,1
"(205, 266)",1,1
"(208, 435)",1,1
"(177, 476)",1,1
"(209, 304)",1,1
"(24, 294)",1,1
"(192, 476)",1,1
"(100, 251)",1,1
"(142, 278)",1,1
"(162, 402)",1,1
"(172, 264)",1,1
"(27, 246)",1,1
"(192, 388)",1,1
"(159, 245)",1,1
"(90, 348)",1,1
"(105, 387)",1,0
"(93, 301)",1,1
"(93, 432)",1,1
"(16, 264)",1,1
"(115, 372)",1,1
"(8, 330)",1,1
"(3, 397)",1,1
"(41, 339)",1,1
"(13, 359)",1,1
"(145, 287)",1,0
"(76, 266)",1,1
"(107, 389)",1,1
"(28, 485)",1,1
"(4, 241)",1,1
"(131, 410)",1,1
"(152, 312)",1,1
"(200, 468)",1,1
"(209, 410)",1,1
"(210, 468)",1,1
"(92, 316)",1,1
"(192, 312)",1,1
"(67, 416)",1,1
"(142, 229)",1,1
"(78, 363)",1,1
"(156, 326)",1,1
"(59, 484)",1,1
"(67, 248)",1,1
"(113, 437)",1,1
"(170, 293)",1,1
"(23, 415)",1,1
"(73, 462)",1,1
"(73, 248)",1,1
"(157, 414)",1,0
"(53, 256)",1,1
"(207, 264)",1,1
"(176, 437)",1,1
"(173, 326)",1,0
"(76, 335)",1,1
"(50, 264)",1,1
"(208, 331)",1,1
"(90, 456)",1,0
"(25, 292)",1,1
"(98, 364)",1,0
"(93, 465)",1,1
"(175, 406)",1,1
"(72, 300)",1,1
"(92, 487)",1,1
"(79, 353)",1,1
"(86, 396)",1,1
"(199, 412)",1,1
"(25, 352)",1,1
"(85, 300)",1,1
"(140, 278)",1,1
"(199, 273)",1,1
"(184, 264)",1,1
"(26, 427)",1,1
"(151, 438)",1,1
"(11, 242)",1,1
"(50, 321)",1,1
"(192, 468)",1,1
"(159, 339)",1,1
"(160, 419)",1,1
"(28, 308)",1,1
"(156, 225)",1,1
"(110, 484)",1,1
"(51, 268)",1,1
"(76, 465)",1,1
"(26, 437)",1,1
"(127, 372)",1,1
"(101, 372)",1,1
"(156, 411)",1,0
"(30, 446)",1,1
"(138, 299)",1,0
"(36, 233)",1,1
"(109, 323)",1,1
"(208, 480)",1,1
"(207, 353)",1,1
"(142, 308)",1,1
"(90, 353)",1,1
"(82, 333)",1,1
"(25, 476)",1,1
"(185, 292)",1,1
"(51, 330)",1,1
"(93, 300)",1,1
"(136, 273)",1,1
"(106, 266)",1,1
"(197, 461)",1,1
"(199, 353)",1,1
"(138, 449)",1,1
"(131, 476)",1,1
"(104, 438)",1,1
"(166, 273)",1,0
"(123, 284)",1,1
"(150, 314)",1,1
"(8, 374)",1,1
"(180, 475)",1,1
"(39, 234)",1,1
