pairs,true,predict
"(144, 225)",1,1
"(25, 303)",1,1
"(98, 249)",1,1
"(23, 465)",1,1
"(36, 372)",1,0
"(116, 297)",1,1
"(102, 248)",1,1
"(182, 332)",1,0
"(156, 388)",1,1
"(200, 333)",1,1
"(109, 242)",1,1
"(61, 286)",1,0
"(93, 229)",1,1
"(209, 419)",1,1
"(2, 359)",1,1
"(69, 333)",1,1
"(208, 280)",1,1
"(192, 339)",1,1
"(76, 344)",1,1
"(27, 277)",1,1
"(26, 319)",1,1
"(170, 445)",1,1
"(29, 330)",1,1
"(208, 432)",1,1
"(170, 316)",1,1
"(102, 368)",1,1
"(103, 256)",1,1
"(124, 281)",1,0
"(103, 246)",1,1
"(123, 264)",1,1
"(28, 248)",1,1
"(25, 297)",1,1
"(210, 282)",1,1
"(82, 300)",1,1
"(1, 256)",1,0
"(73, 299)",1,1
"(77, 353)",1,1
"(86, 487)",1,1
"(18, 397)",1,1
"(85, 274)",1,1
"(197, 268)",1,0
"(121, 274)",1,1
"(131, 402)",1,1
"(70, 233)",1,1
"(126, 365)",1,1
"(172, 255)",1,1
"(85, 310)",1,1
"(8, 312)",1,1
"(159, 229)",1,1
"(44, 430)",1,0
"(52, 397)",1,1
"(67, 271)",1,1
"(3, 262)",1,1
"(126, 242)",1,1
"(160, 348)",1,1
"(158, 359)",1,1
"(42, 284)",1,0
"(78, 278)",1,1
"(63, 283)",1,0
"(42, 353)",1,0
"(17, 359)",1,1
"(138, 295)",1,1
"(142, 474)",1,1
"(26, 316)",1,1
"(13, 314)",1,1
"(92, 225)",1,1
"(28, 357)",1,1
"(21, 359)",1,1
"(197, 303)",1,1
"(110, 280)",1,1
"(72, 233)",1,1
"(137, 372)",1,1
"(3, 272)",1,1
"(79, 333)",1,1
"(92, 463)",1,1
"(54, 353)",1,1
"(140, 375)",1,1
"(165, 425)",1,1
"(127, 276)",1,0
"(182, 267)",1,0
"(208, 419)",1,1
"(107, 241)",1,0
"(51, 318)",1,0
"(21, 235)",1,1
"(168, 285)",1,0
