pairs,true,predict
"(80, 230)",1,1
"(170, 331)",1,1
"(135, 432)",1,1
"(183, 267)",1,0
"(76, 474)",1,1
"(67, 243)",1,1
"(192, 245)",1,1
"(117, 437)",1,1
"(202, 249)",1,1
"(109, 437)",1,1
"(76, 352)",1,1
"(75, 353)",1,1
"(189, 229)",1,1
"(89, 334)",1,1
"(161, 461)",1,0
"(51, 485)",1,0
"(135, 291)",1,0
"(67, 333)",1,0
"(72, 276)",1,1
"(79, 374)",1,1
"(142, 297)",1,1
"(208, 392)",1,1
"(80, 353)",1,1
"(90, 229)",1,1
"(138, 410)",1,1
"(27, 461)",1,0
"(188, 474)",1,1
"(113, 268)",1,1
"(79, 412)",1,1
"(144, 359)",1,1
"(177, 285)",1,1
"(8, 439)",1,1
"(111, 268)",1,1
"(80, 317)",1,1
"(208, 410)",1,1
"(46, 400)",1,1
"(159, 271)",1,1
"(210, 357)",1,1
"(176, 372)",1,1
"(70, 297)",1,1
"(217, 419)",1,1
"(92, 278)",1,1
"(92, 333)",1,1
"(10, 346)",1,1
"(131, 357)",1,1
"(159, 295)",1,0
"(31, 264)",1,1
"(183, 293)",1,1
"(166, 277)",1,1
"(73, 300)",1,1
"(151, 450)",1,1
"(191, 376)",1,0
"(192, 223)",1,1
"(86, 353)",1,1
"(208, 290)",1,1
"(76, 276)",1,1
"(180, 235)",1,1
"(102, 466)",1,1
"(30, 225)",1,1
"(88, 333)",1,0
"(214, 454)",1,1
"(93, 372)",1,1
"(13, 293)",1,1
"(21, 330)",1,1
"(208, 295)",1,1
"(2, 351)",1,1
"(208, 314)",1,1
"(82, 348)",1,1
"(25, 389)",1,1
"(48, 435)",1,0
"(118, 401)",1,1
"(96, 269)",1,0
"(79, 468)",1,1
"(207, 397)",1,1
"(159, 330)",1,1
"(111, 484)",1,1
"(175, 450)",1,1
"(49, 241)",1,1
"(75, 292)",1,1
"(87, 243)",1,1
"(175, 316)",1,1
"(27, 384)",1,1
"(86, 391)",1,1
"(85, 230)",1,1
"(209, 268)",1,1
"(26, 229)",1,1
"(79, 264)",1,1
"(24, 273)",1,1
"(156, 278)",1,1
"(8, 400)",1,1
"(51, 405)",1,1
"(22, 374)",1,0
"(73, 247)",1,1
"(82, 233)",1,1
"(198, 468)",1,1
"(135, 475)",1,0
"(142, 401)",1,1
"(85, 246)",1,1
"(104, 450)",1,1
"(90, 223)",1,1
"(30, 447)",1,1
"(73, 316)",1,1
"(101, 229)",1,1
"(69, 280)",1,1
"(86, 469)",1,1
"(126, 266)",1,1
"(170, 457)",1,1
"(85, 225)",1,1
"(207, 225)",1,1
"(192, 330)",1,1
"(138, 314)",1,1
"(177, 312)",1,1
"(107, 292)",1,1
"(93, 406)",1,1
"(62, 268)",1,1
"(173, 432)",1,1
"(111, 459)",1,1
"(106, 294)",1,1
"(40, 454)",1,0
"(166, 229)",1,1
"(177, 412)",1,1
"(24, 234)",1,1
"(80, 314)",1,1
"(8, 229)",1,1
"(173, 262)",1,1
"(167, 412)",1,1
"(73, 480)",1,1
"(84, 412)",1,1
"(71, 476)",1,1
"(82, 317)",1,1
"(189, 303)",1,1
"(53, 480)",1,1
"(142, 277)",1,1
"(192, 367)",1,1
"(177, 465)",1,1
"(214, 412)",1,1
"(93, 326)",1,1
"(140, 353)",1,1
"(23, 375)",1,1
"(89, 476)",1,1
"(138, 225)",1,1
"(73, 363)",1,1
"(67, 282)",1,1
"(173, 227)",1,0
"(186, 389)",1,0
"(199, 486)",1,1
"(208, 438)",1,1
"(88, 406)",1,0
"(51, 303)",1,1
"(189, 397)",1,1
"(67, 370)",1,1
"(210, 464)",1,0
"(41, 296)",1,0
"(4, 304)",1,0
"(98, 267)",1,1
"(18, 268)",1,1
"(30, 300)",1,1
"(178, 359)",1,1
"(59, 353)",1,1
"(208, 380)",1,1
"(95, 353)",1,1
"(204, 229)",1,1
"(142, 476)",1,1
"(203, 292)",1,1
"(108, 375)",1,1
"(24, 293)",1,1
"(180, 451)",1,1
"(10, 286)",1,1
"(3, 353)",1,1
"(141, 353)",1,1
"(120, 434)",1,1
"(142, 378)",1,1
"(198, 480)",1,1
"(198, 280)",1,1
"(208, 352)",1,1
"(77, 301)",1,0
"(144, 273)",1,1
"(140, 409)",1,1
"(151, 233)",1,1
"(79, 461)",1,1
"(118, 333)",1,0
"(206, 229)",1,1
"(208, 341)",1,1
"(46, 233)",1,1
"(138, 243)",1,1
"(167, 300)",1,1
"(30, 362)",1,0
"(102, 307)",1,1
"(211, 370)",1,1
"(48, 437)",1,1
"(180, 225)",1,1
"(138, 264)",1,1
"(86, 369)",1,1
"(143, 437)",1,1
"(208, 278)",1,1
"(214, 290)",1,1
"(120, 229)",1,1
"(74, 359)",1,1
"(199, 474)",1,1
"(159, 353)",1,1
"(43, 359)",1,0
"(53, 442)",1,1
"(175, 432)",1,1
"(170, 405)",1,1
"(90, 427)",1,1
"(111, 479)",1,1
"(85, 229)",1,1
"(82, 474)",1,1
"(77, 266)",1,1
"(162, 234)",1,0
"(185, 478)",1,1
"(27, 247)",1,1
"(69, 330)",1,1
"(208, 369)",1,1
"(111, 295)",1,0
"(21, 476)",1,1
"(134, 316)",1,0
"(189, 285)",1,1
"(214, 437)",1,1
"(111, 330)",1,1
"(87, 242)",1,1
"(69, 246)",1,1
"(22, 333)",1,1
"(170, 225)",1,1
"(10, 330)",1,1
"(182, 348)",1,1
