pairs,true,predict
"(107, 459)",1,1
"(182, 249)",1,1
"(36, 276)",1,0
"(210, 248)",1,1
"(214, 294)",1,1
"(76, 261)",1,1
"(138, 361)",1,1
"(185, 303)",1,1
"(110, 330)",1,1
"(111, 474)",1,1
"(1, 353)",1,1
"(41, 410)",1,0
"(79, 288)",1,1
"(210, 273)",1,1
"(120, 233)",1,1
"(79, 295)",1,1
"(74, 294)",1,1
"(127, 468)",1,1
"(207, 267)",1,1
"(119, 294)",1,1
"(77, 292)",1,1
"(89, 235)",1,1
"(147, 355)",1,0
"(107, 245)",1,1
"(199, 294)",1,1
"(110, 229)",1,1
"(189, 361)",1,1
"(209, 241)",1,1
"(75, 242)",1,1
"(92, 432)",1,1
"(118, 474)",1,1
"(170, 474)",1,1
"(101, 330)",1,1
"(177, 256)",1,1
"(30, 306)",1,1
"(150, 462)",1,1
"(13, 401)",1,1
"(131, 331)",1,1
"(120, 249)",1,1
"(111, 406)",1,1
"(8, 316)",1,1
"(72, 225)",1,1
"(197, 290)",1,1
"(136, 417)",1,1
"(46, 428)",1,1
"(199, 352)",1,1
"(130, 412)",1,1
"(108, 353)",1,1
"(159, 461)",1,1
"(59, 437)",1,1
"(86, 297)",1,1
"(85, 316)",1,1
"(73, 229)",1,1
"(160, 256)",1,1
"(189, 375)",1,1
"(185, 412)",1,1
"(76, 367)",1,1
"(122, 296)",1,1
"(67, 419)",1,1
"(159, 419)",1,1
"(151, 264)",1,1
"(85, 292)",1,1
"(80, 327)",1,1
"(69, 409)",1,0
"(75, 316)",1,1
"(211, 348)",1,0
"(69, 271)",1,1
"(172, 229)",1,1
"(69, 437)",1,1
"(160, 293)",1,1
"(61, 330)",1,1
"(134, 353)",1,1
"(111, 292)",1,1
"(12, 432)",1,1
"(120, 437)",1,1
"(3, 242)",1,1
"(104, 318)",1,1
"(64, 336)",1,1
"(181, 258)",1,1
"(3, 276)",1,1
"(151, 386)",1,0
"(9, 317)",1,0
"(2, 348)",1,1
"(53, 264)",1,1
"(91, 401)",1,1
"(138, 348)",1,1
"(214, 333)",1,1
"(24, 341)",1,1
"(121, 229)",1,0
"(87, 247)",1,1
"(201, 264)",1,1
"(202, 468)",1,1
"(150, 378)",1,1
"(93, 292)",1,1
"(73, 303)",1,1
"(150, 367)",1,1
"(138, 247)",1,1
"(71, 474)",1,1
"(192, 278)",1,1
"(69, 372)",1,1
"(200, 353)",1,1
"(82, 268)",1,1
"(72, 230)",1,1
"(184, 241)",1,1
"(28, 333)",1,1
"(151, 333)",1,1
"(120, 480)",1,1
"(3, 247)",1,1
"(107, 352)",1,1
"(69, 241)",1,1
"(166, 388)",1,1
"(123, 359)",1,1
"(110, 474)",1,1
"(86, 309)",1,1
"(131, 273)",1,1
"(138, 254)",1,1
"(24, 266)",1,1
"(168, 318)",1,1
"(174, 399)",1,0
"(195, 265)",1,0
"(147, 242)",1,1
"(73, 474)",1,1
"(209, 294)",1,1
"(120, 484)",1,1
"(59, 323)",1,1
"(14, 218)",1,0
"(185, 331)",1,1
"(122, 335)",1,0
"(3, 301)",1,0
"(205, 252)",1,1
"(72, 484)",1,1
"(184, 273)",1,1
"(27, 454)",1,1
"(82, 454)",1,1
"(86, 480)",1,1
"(51, 331)",1,1
"(208, 264)",1,1
"(182, 326)",1,1
"(12, 330)",1,1
"(209, 401)",1,1
"(24, 468)",1,1
"(3, 432)",1,1
"(185, 229)",1,1
"(3, 434)",1,1
"(34, 470)",1,0
"(70, 333)",1,1
"(208, 330)",1,1
"(209, 244)",1,0
"(159, 300)",1,1
"(50, 271)",1,1
"(197, 454)",1,0
"(74, 328)",1,0
"(156, 438)",1,1
"(122, 353)",1,1
"(209, 442)",1,1
"(86, 225)",1,1
"(27, 282)",1,1
"(159, 468)",1,1
"(111, 277)",1,1
"(84, 330)",1,1
"(138, 241)",1,1
"(67, 220)",1,1
"(206, 225)",1,1
"(102, 229)",1,1
"(194, 437)",1,1
"(91, 474)",1,1
"(78, 485)",1,1
"(113, 372)",1,1
"(208, 273)",1,1
"(208, 465)",1,1
"(93, 303)",1,1
"(199, 264)",1,1
"(192, 324)",1,1
"(160, 397)",1,1
"(142, 256)",1,1
"(111, 314)",1,1
"(200, 401)",1,1
"(110, 275)",1,0
"(59, 233)",1,1
"(131, 468)",1,1
"(190, 443)",1,0
"(181, 336)",1,1
"(85, 357)",1,1
"(27, 327)",1,1
"(90, 331)",1,1
"(73, 375)",1,1
"(60, 348)",1,1
"(67, 242)",1,1
"(184, 469)",1,0
"(140, 404)",1,1
"(123, 427)",1,1
"(170, 484)",1,1
"(139, 469)",1,1
"(108, 437)",1,1
"(20, 265)",1,1
"(71, 278)",1,1
"(208, 484)",1,1
"(150, 487)",1,1
"(73, 372)",1,1
"(79, 247)",1,1
"(190, 376)",1,0
"(45, 312)",1,1
"(199, 248)",1,1
"(36, 248)",1,1
"(73, 412)",1,1
"(118, 227)",1,1
"(131, 384)",1,1
"(74, 314)",1,1
"(70, 292)",1,1
"(110, 375)",1,1
"(208, 269)",1,1
"(16, 284)",1,1
"(182, 278)",1,1
"(216, 289)",1,1
"(44, 401)",1,0
"(131, 457)",1,1
"(82, 247)",1,1
"(50, 437)",1,1
"(23, 359)",1,1
"(188, 404)",1,1
"(46, 276)",1,1
"(49, 480)",1,1
"(106, 401)",1,1
"(141, 364)",1,0
"(192, 435)",1,1
"(76, 280)",1,1
"(89, 430)",1,0
"(78, 483)",1,1
"(8, 246)",1,1
"(209, 273)",1,1
"(81, 470)",1,1
"(212, 309)",1,0
"(17, 218)",1,0
"(190, 397)",1,1
"(126, 262)",1,0
"(215, 483)",1,0
"(85, 333)",1,1
"(75, 300)",1,1
"(111, 486)",1,1
"(118, 313)",1,1
"(199, 410)",1,1
"(75, 468)",1,1
"(197, 330)",1,0
"(175, 375)",1,1
"(24, 378)",1,1
"(109, 333)",1,0
"(109, 241)",1,1
"(111, 426)",1,1
"(142, 462)",1,1
"(160, 303)",1,1
"(133, 451)",1,0
"(197, 412)",1,1
"(70, 241)",1,1
"(84, 465)",1,1
"(208, 442)",1,1
"(85, 480)",1,1
"(75, 241)",1,1
"(79, 406)",1,1
"(158, 309)",1,1
"(89, 396)",1,1
"(121, 347)",1,0
"(111, 324)",1,1
"(140, 438)",1,1
"(89, 294)",1,1
"(100, 410)",1,1
"(202, 229)",1,1
"(51, 263)",1,1
"(150, 476)",1,1
"(170, 268)",1,1
"(53, 405)",1,1
"(126, 292)",1,1
"(93, 308)",1,1
"(136, 437)",1,1
"(135, 242)",1,1
"(178, 311)",1,0
"(199, 278)",1,1
"(41, 318)",1,1
"(209, 461)",1,1
"(104, 461)",1,1
"(177, 293)",1,1
"(154, 221)",1,0
"(79, 474)",1,1
"(73, 220)",1,1
"(73, 446)",1,1
"(8, 247)",1,1
"(206, 333)",1,1
"(69, 303)",1,1
"(76, 300)",1,1
"(53, 331)",1,1
"(84, 420)",1,1
"(92, 378)",1,1
"(72, 348)",1,1
"(101, 311)",1,1
"(123, 278)",1,1
"(24, 392)",1,1
"(184, 432)",1,1
"(30, 273)",1,1
"(158, 276)",1,1
"(66, 353)",1,1
"(77, 449)",1,1
"(27, 483)",1,1
"(76, 368)",1,1
"(184, 335)",1,1
"(67, 355)",1,1
"(182, 229)",1,1
"(196, 434)",1,1
"(76, 264)",1,1
"(156, 296)",1,1
"(53, 273)",1,1
"(196, 348)",1,1
"(120, 312)",1,1
"(202, 294)",1,1
"(36, 437)",1,1
"(126, 294)",1,1
"(53, 221)",1,1
"(67, 259)",1,1
"(27, 272)",1,1
"(208, 228)",1,1
"(84, 256)",1,1
"(138, 312)",1,1
"(28, 241)",1,1
"(188, 480)",1,1
"(129, 468)",1,1
"(73, 384)",1,1
"(156, 375)",1,1
"(188, 417)",1,0
"(101, 480)",1,1
"(182, 357)",1,1
"(8, 409)",1,1
"(193, 487)",1,0
"(159, 374)",1,1
"(170, 373)",1,0
"(204, 294)",1,1
"(170, 276)",1,1
"(159, 264)",1,1
"(12, 406)",1,1
"(176, 264)",1,1
"(122, 241)",1,1
"(79, 317)",1,1
"(53, 294)",1,1
"(127, 330)",1,1
"(73, 409)",1,1
"(76, 314)",1,1
"(67, 454)",1,1
"(110, 406)",1,1
"(49, 353)",1,1
"(69, 229)",1,1
"(180, 330)",1,1
"(24, 314)",1,1
"(150, 432)",1,1
"(89, 428)",1,1
"(40, 386)",1,0
"(131, 249)",1,1
"(145, 294)",1,1
"(213, 291)",1,0
"(72, 437)",1,1
"(156, 229)",1,1
"(78, 252)",1,0
"(147, 437)",1,1
"(200, 301)",1,1
"(189, 484)",1,1
"(18, 226)",1,0
"(122, 412)",1,1
"(210, 474)",1,1
"(142, 392)",1,1
"(170, 437)",1,1
"(51, 256)",1,1
"(59, 229)",1,1
"(49, 220)",1,1
"(80, 330)",1,1
"(52, 273)",1,0
"(27, 241)",1,1
"(95, 474)",1,1
"(210, 229)",1,1
"(28, 330)",1,1
"(208, 311)",1,1
"(147, 364)",1,1
"(128, 242)",1,1
"(207, 255)",1,1
"(175, 280)",1,0
"(208, 437)",1,1
"(3, 246)",1,1
"(27, 273)",1,1
"(127, 273)",1,1
"(86, 299)",1,1
"(173, 294)",1,1
"(166, 303)",1,1
"(103, 318)",1,1
"(50, 438)",1,1
"(76, 397)",1,1
"(184, 247)",1,1
"(130, 354)",1,1
"(103, 229)",1,1
"(82, 301)",1,1
"(131, 429)",1,1
"(184, 437)",1,1
"(158, 372)",1,1
"(4, 415)",1,0
"(123, 384)",1,1
"(87, 259)",1,1
"(208, 397)",1,1
"(62, 353)",1,1
"(20, 353)",1,1
"(188, 401)",1,1
"(110, 410)",1,1
"(138, 480)",1,1
"(208, 241)",1,1
"(106, 229)",1,1
"(173, 372)",1,1
"(108, 474)",1,1
"(80, 348)",1,1
"(107, 465)",1,1
"(1, 330)",1,1
