pairs,true,predict
"(3, 303)",1,1
"(46, 362)",1,1
"(144, 406)",1,1
"(210, 330)",1,1
"(90, 412)",1,1
"(33, 330)",1,1
"(72, 476)",1,1
"(20, 273)",1,1
"(28, 225)",1,1
"(192, 333)",1,1
"(120, 324)",1,1
"(91, 297)",1,1
"(78, 484)",1,1
"(92, 256)",1,1
"(142, 293)",1,1
"(110, 294)",1,1
"(131, 248)",1,1
"(28, 344)",1,1
"(198, 330)",1,1
"(131, 335)",1,1
"(3, 264)",1,1
"(9, 241)",1,1
"(68, 470)",1,0
"(184, 271)",1,1
"(206, 330)",1,1
"(85, 375)",1,1
"(90, 397)",1,1
"(184, 308)",1,1
"(42, 485)",1,1
"(64, 333)",1,0
"(209, 369)",1,1
"(180, 264)",1,1
"(111, 340)",1,1
"(26, 294)",1,1
"(67, 348)",1,1
"(71, 241)",1,1
"(71, 359)",1,1
"(53, 484)",1,1
"(199, 476)",1,1
"(89, 314)",1,1
"(106, 450)",1,1
"(192, 230)",1,1
"(150, 332)",1,1
"(41, 432)",1,1
"(131, 323)",1,1
"(98, 461)",1,1
"(210, 369)",1,1
"(209, 242)",1,1
"(138, 333)",1,1
"(137, 300)",1,1
"(119, 223)",1,1
"(207, 333)",1,1
"(159, 321)",1,1
"(183, 476)",1,1
"(53, 303)",1,1
"(73, 438)",1,1
"(210, 353)",1,1
"(27, 449)",1,1
"(70, 255)",1,1
"(143, 372)",1,1
"(111, 353)",1,1
"(156, 316)",1,1
"(117, 344)",1,0
"(141, 330)",1,1
"(92, 294)",1,1
"(144, 468)",1,1
"(11, 359)",1,1
"(109, 274)",1,1
"(26, 487)",1,1
"(140, 402)",1,1
"(169, 352)",1,0
"(67, 368)",1,1
"(183, 474)",1,1
"(140, 457)",1,0
"(209, 434)",1,1
"(142, 461)",1,1
"(172, 333)",1,1
"(170, 410)",1,1
"(102, 366)",1,1
"(25, 294)",1,1
"(12, 312)",1,1
"(184, 223)",1,1
"(67, 245)",1,1
"(209, 397)",1,1
"(201, 256)",1,1
"(76, 476)",1,1
"(208, 282)",1,1
"(192, 293)",1,1
"(46, 476)",1,1
"(103, 242)",1,1
"(192, 326)",1,1
"(70, 265)",1,0
"(90, 318)",1,1
"(167, 381)",1,0
"(72, 264)",1,1
"(51, 333)",1,1
"(204, 465)",1,1
"(111, 378)",1,1
"(25, 315)",1,1
"(210, 255)",1,1
"(30, 406)",1,1
"(87, 225)",1,0
"(1, 327)",1,1
"(104, 406)",1,1
"(209, 248)",1,1
"(85, 318)",1,1
"(131, 397)",1,1
"(199, 284)",1,0
"(192, 327)",1,1
"(156, 474)",1,1
"(208, 374)",1,1
"(75, 412)",1,1
"(46, 480)",1,0
"(11, 401)",1,1
"(138, 374)",1,1
"(78, 337)",1,1
"(178, 276)",1,1
"(93, 461)",1,1
"(76, 284)",1,0
"(125, 401)",1,1
"(121, 301)",1,0
"(184, 330)",1,1
"(93, 438)",1,1
"(48, 264)",1,1
"(115, 229)",1,1
"(111, 299)",1,1
"(101, 274)",1,1
"(73, 268)",1,1
"(46, 338)",1,1
"(8, 314)",1,1
"(79, 299)",1,1
"(26, 241)",1,1
"(73, 485)",1,1
"(93, 290)",1,1
"(41, 233)",1,1
"(103, 412)",1,1
"(28, 294)",1,1
"(193, 381)",1,0
"(181, 480)",1,0
"(217, 352)",1,1
"(26, 318)",1,1
"(127, 280)",1,0
"(156, 312)",1,1
"(111, 465)",1,1
"(150, 234)",1,1
"(177, 284)",1,0
"(198, 273)",1,1
"(28, 268)",1,1
"(13, 474)",1,1
"(24, 465)",1,1
"(92, 312)",1,1
"(208, 226)",1,1
"(26, 469)",1,1
"(73, 243)",1,1
"(87, 348)",1,1
"(203, 435)",1,0
"(210, 293)",1,1
"(209, 468)",1,1
"(160, 474)",1,1
"(8, 264)",1,1
"(192, 316)",1,1
"(31, 255)",1,1
"(189, 412)",1,1
"(8, 308)",1,1
"(183, 359)",1,1
"(66, 437)",1,0
"(37, 359)",1,1
"(67, 386)",1,0
"(120, 323)",1,1
"(160, 284)",1,1
"(102, 256)",1,1
"(173, 268)",1,1
"(60, 372)",1,1
"(80, 438)",1,1
"(73, 335)",1,1
"(76, 331)",1,1
"(214, 278)",1,1
"(72, 330)",1,1
"(110, 324)",1,1
"(53, 244)",1,0
"(67, 247)",1,1
"(111, 331)",1,1
"(68, 312)",1,0
"(52, 357)",1,1
"(156, 294)",1,1
"(159, 348)",1,1
"(76, 468)",1,1
"(75, 324)",1,1
"(80, 242)",1,1
"(110, 364)",1,1
"(184, 312)",1,1
"(111, 352)",1,1
"(123, 229)",1,1
"(200, 314)",1,1
"(144, 461)",1,1
"(126, 293)",1,1
"(118, 334)",1,1
"(111, 265)",1,1
"(28, 229)",1,1
"(101, 276)",1,1
"(93, 268)",1,1
"(46, 301)",1,1
"(122, 468)",1,1
"(71, 401)",1,1
"(197, 476)",1,1
"(184, 219)",1,0
"(0, 290)",1,0
"(214, 419)",1,1
"(93, 252)",1,0
"(106, 388)",1,1
"(80, 273)",1,1
"(79, 312)",1,1
"(209, 353)",1,1
"(16, 234)",1,1
"(59, 412)",1,1
"(209, 233)",1,1
"(180, 402)",1,1
"(51, 310)",1,0
"(84, 450)",1,1
"(140, 437)",1,1
"(192, 303)",1,1
"(156, 465)",1,1
"(73, 487)",1,1
"(210, 225)",1,1
"(138, 229)",1,1
"(76, 319)",1,1
"(100, 264)",1,1
"(135, 300)",1,1
"(118, 298)",1,1
"(129, 249)",1,1
"(185, 225)",1,1
"(26, 404)",1,1
"(152, 465)",1,1
"(79, 446)",1,1
"(28, 339)",1,1
"(24, 410)",1,1
"(51, 228)",1,1
"(151, 381)",1,0
"(177, 292)",1,1
"(217, 229)",1,1
"(104, 475)",1,1
"(199, 276)",1,1
"(184, 230)",1,1
"(192, 353)",1,1
"(107, 243)",1,1
"(67, 274)",1,1
"(24, 268)",1,0
"(207, 282)",1,1
"(156, 384)",1,1
"(166, 339)",1,1
"(170, 352)",1,1
"(18, 270)",1,1
"(3, 290)",1,1
"(201, 437)",1,1
"(131, 308)",1,0
"(182, 268)",1,1
"(46, 248)",1,1
"(197, 324)",1,1
"(79, 315)",1,1
"(182, 333)",1,1
"(69, 397)",1,1
"(120, 273)",1,1
"(93, 434)",1,1
"(198, 323)",1,1
"(199, 401)",1,1
"(204, 278)",1,1
"(26, 333)",1,1
"(188, 330)",1,1
"(140, 381)",1,0
"(143, 353)",1,1
"(116, 274)",1,1
"(27, 326)",1,1
"(150, 463)",1,1
"(48, 268)",1,1
"(31, 245)",1,1
"(76, 410)",1,1
"(59, 294)",1,1
"(111, 256)",1,1
"(8, 373)",1,1
"(101, 357)",1,0
"(160, 316)",1,1
"(101, 343)",1,1
"(27, 244)",1,1
"(216, 301)",1,1
"(89, 242)",1,1
"(27, 267)",1,1
"(84, 312)",1,1
"(82, 273)",1,1
"(8, 476)",1,1
"(175, 229)",1,1
"(200, 357)",1,0
"(28, 275)",1,1
"(189, 463)",1,1
"(109, 468)",1,1
"(24, 292)",1,1
"(182, 256)",1,1
"(172, 316)",1,1
"(142, 264)",1,1
"(126, 474)",1,0
"(138, 273)",1,1
"(56, 351)",1,0
"(138, 404)",1,1
"(150, 223)",1,1
"(202, 314)",1,0
"(214, 266)",1,1
"(199, 330)",1,1
"(140, 359)",1,1
"(111, 275)",1,1
"(117, 330)",1,1
"(184, 372)",1,1
"(173, 233)",1,1
"(38, 441)",1,0
"(79, 454)",1,1
"(210, 331)",1,1
"(85, 324)",1,1
"(26, 378)",1,1
"(189, 427)",1,1
"(120, 353)",1,1
"(69, 242)",1,1
"(210, 361)",1,1
