pairs,true,predict
"(102, 335)",1,1
"(13, 459)",1,1
"(209, 330)",1,1
"(50, 384)",1,1
"(200, 303)",1,1
"(205, 401)",1,1
"(152, 229)",1,0
"(76, 278)",1,1
"(158, 301)",1,1
"(69, 432)",1,1
"(106, 223)",1,1
"(96, 448)",1,0
"(116, 372)",1,0
"(207, 294)",1,1
"(126, 247)",1,1
"(140, 239)",1,0
"(142, 450)",1,1
"(72, 465)",1,1
"(137, 223)",1,1
"(177, 420)",1,1
"(41, 294)",1,0
"(197, 294)",1,1
"(75, 487)",1,1
"(7, 353)",1,1
"(53, 333)",1,1
"(51, 293)",1,1
"(115, 426)",1,0
"(108, 468)",1,0
"(8, 317)",1,1
"(106, 393)",1,1
"(140, 276)",1,1
"(182, 279)",1,0
"(103, 278)",1,1
"(42, 430)",1,0
"(156, 378)",1,1
"(84, 438)",1,1
"(168, 317)",1,0
"(48, 223)",1,1
"(122, 372)",1,1
"(120, 367)",1,0
"(75, 312)",1,1
"(98, 258)",1,0
"(77, 348)",1,1
"(76, 359)",1,1
"(36, 247)",1,1
"(8, 268)",1,1
"(7, 437)",1,1
"(93, 378)",1,1
"(67, 406)",1,1
"(140, 469)",1,1
"(208, 299)",1,1
"(82, 229)",1,1
"(101, 270)",1,0
"(45, 439)",1,1
"(57, 233)",1,1
"(207, 363)",1,1
"(197, 401)",1,1
"(180, 484)",1,1
"(84, 294)",1,0
"(192, 247)",1,1
"(41, 348)",1,1
"(111, 225)",1,1
"(91, 392)",1,1
"(103, 478)",1,1
"(67, 372)",1,1
"(151, 469)",1,0
"(126, 306)",1,1
"(26, 462)",1,1
"(201, 412)",1,1
"(208, 300)",1,1
"(142, 312)",1,1
"(217, 264)",1,1
"(28, 457)",1,1
"(131, 303)",1,1
"(120, 372)",1,1
"(180, 231)",1,1
"(172, 487)",1,1
"(82, 242)",1,1
"(144, 437)",1,0
"(95, 330)",1,0
"(85, 437)",1,1
"(110, 247)",1,1
"(115, 241)",1,1
"(110, 303)",1,1
"(106, 375)",1,1
"(138, 248)",1,1
"(30, 242)",1,1
"(121, 221)",1,1
"(128, 294)",1,0
"(170, 353)",1,1
"(86, 337)",1,1
"(115, 364)",1,1
"(22, 268)",1,1
"(137, 437)",1,1
"(144, 353)",1,1
"(140, 330)",1,1
"(216, 354)",1,1
"(73, 323)",1,1
"(180, 252)",1,1
"(12, 225)",1,1
"(24, 265)",1,1
"(30, 256)",1,1
"(156, 442)",1,1
"(97, 229)",1,0
"(50, 223)",1,1
"(200, 273)",1,1
"(204, 264)",1,1
"(70, 245)",1,1
"(160, 401)",1,1
"(217, 312)",1,1
"(111, 264)",1,1
"(3, 249)",1,1
"(131, 256)",1,1
"(215, 220)",1,1
"(51, 323)",1,1
"(140, 323)",1,1
"(170, 254)",1,0
"(85, 242)",1,1
"(192, 273)",1,1
"(196, 437)",1,1
"(131, 330)",1,1
"(67, 390)",1,1
"(113, 438)",1,0
"(189, 225)",1,1
"(209, 308)",1,1
"(76, 378)",1,1
"(196, 359)",1,1
"(20, 421)",1,0
"(8, 339)",1,1
"(123, 266)",1,1
"(106, 297)",1,1
"(13, 465)",1,1
"(189, 485)",1,1
"(109, 233)",1,1
"(144, 267)",1,1
"(49, 418)",1,1
"(173, 450)",1,1
"(50, 274)",1,1
"(123, 293)",1,1
"(121, 225)",1,1
"(119, 310)",1,1
"(73, 484)",1,1
"(73, 308)",1,1
"(3, 329)",1,1
"(110, 239)",1,0
"(209, 314)",1,1
"(138, 271)",1,1
"(209, 274)",1,1
"(85, 400)",1,1
"(120, 482)",1,0
"(156, 397)",1,1
"(144, 474)",1,1
"(137, 348)",1,1
"(91, 241)",1,1
"(111, 438)",1,1
"(214, 256)",1,1
"(86, 483)",1,1
"(208, 294)",1,1
"(13, 352)",1,1
"(25, 351)",1,1
"(79, 277)",1,1
"(67, 303)",1,1
"(177, 401)",1,1
"(192, 282)",1,1
"(50, 353)",1,1
"(208, 401)",1,1
"(60, 245)",1,1
"(160, 296)",1,1
"(176, 278)",1,1
"(70, 223)",1,1
"(51, 484)",1,1
"(142, 353)",1,1
